draw,metric,n,spearman_rho,null_kind
0,cyclomatic_complexity_p90,92,-0.5735830154510075,uniform
0,design_smell_density_per_kloc,91,-0.7457354463645776,uniform
0,implementation_smell_density_per_kloc,91,-0.8020688172385511,uniform
0,"pooled (non-independent, see caveat)",274,-0.6908577283052236,uniform
1,cyclomatic_complexity_p90,92,-0.6921689810890371,uniform
1,design_smell_density_per_kloc,91,-0.847798040933344,uniform
1,implementation_smell_density_per_kloc,91,-0.7694359725750324,uniform
1,"pooled (non-independent, see caveat)",274,-0.7533582099347537,uniform
2,cyclomatic_complexity_p90,92,-0.6244162569548263,uniform
2,design_smell_density_per_kloc,91,-0.8133630644262164,uniform
2,implementation_smell_density_per_kloc,91,-0.8475859817326145,uniform
2,"pooled (non-independent, see caveat)",274,-0.7496440382996347,uniform
3,cyclomatic_complexity_p90,92,-0.680129464801757,uniform
3,design_smell_density_per_kloc,91,-0.8049852671816518,uniform
3,implementation_smell_density_per_kloc,91,-0.8002213745928857,uniform
3,"pooled (non-independent, see caveat)",274,-0.7414329999988332,uniform
4,cyclomatic_complexity_p90,92,-0.6210866608402011,uniform
4,design_smell_density_per_kloc,91,-0.793995142587841,uniform
4,implementation_smell_density_per_kloc,91,-0.8039321861139204,uniform
4,"pooled (non-independent, see caveat)",274,-0.7183606120367383,uniform
5,cyclomatic_complexity_p90,91,-0.5650262780697562,uniform
5,design_smell_density_per_kloc,91,-0.8224894481165884,uniform
5,implementation_smell_density_per_kloc,91,-0.8264837273747999,uniform
5,"pooled (non-independent, see caveat)",273,-0.7241949432134523,uniform
6,cyclomatic_complexity_p90,92,-0.7586868570107502,uniform
6,design_smell_density_per_kloc,91,-0.8631838815003584,uniform
6,implementation_smell_density_per_kloc,91,-0.8451811210473089,uniform
6,"pooled (non-independent, see caveat)",274,-0.8017054714694898,uniform
7,cyclomatic_complexity_p90,92,-0.5845875236003544,uniform
7,design_smell_density_per_kloc,91,-0.8562236202914709,uniform
7,implementation_smell_density_per_kloc,91,-0.790235628568471,uniform
7,"pooled (non-independent, see caveat)",274,-0.7066918913495205,uniform
8,cyclomatic_complexity_p90,92,-0.7033891774424734,uniform
8,design_smell_density_per_kloc,91,-0.8064187305885164,uniform
8,implementation_smell_density_per_kloc,91,-0.7485407592033699,uniform
8,"pooled (non-independent, see caveat)",274,-0.7205550478665053,uniform
9,cyclomatic_complexity_p90,92,-0.6907202194719725,uniform
9,design_smell_density_per_kloc,91,-0.8752409014892093,uniform
9,implementation_smell_density_per_kloc,91,-0.765884423351038,uniform
9,"pooled (non-independent, see caveat)",274,-0.7432613393637654,uniform
10,cyclomatic_complexity_p90,91,-0.756660123672679,uniform
10,design_smell_density_per_kloc,91,-0.7887234211993313,uniform
10,implementation_smell_density_per_kloc,91,-0.7972113171788278,uniform
10,"pooled (non-independent, see caveat)",273,-0.7609497233475583,uniform
11,cyclomatic_complexity_p90,91,-0.5409141583054627,uniform
11,design_smell_density_per_kloc,91,-0.8209922752249741,uniform
11,implementation_smell_density_per_kloc,91,-0.8426329242946672,uniform
11,"pooled (non-independent, see caveat)",273,-0.7168901806789055,uniform
12,cyclomatic_complexity_p90,92,-0.7309443994913882,uniform
12,design_smell_density_per_kloc,91,-0.7939953810623557,uniform
12,implementation_smell_density_per_kloc,91,-0.8384761783419203,uniform
12,"pooled (non-independent, see caveat)",274,-0.7730641922676196,uniform
13,cyclomatic_complexity_p90,91,-0.6901098901098901,uniform
13,design_smell_density_per_kloc,91,-0.8628971888189855,uniform
13,implementation_smell_density_per_kloc,91,-0.8053018418684653,uniform
13,"pooled (non-independent, see caveat)",273,-0.7638157374782808,uniform
14,cyclomatic_complexity_p90,91,-0.6403959323761517,uniform
14,design_smell_density_per_kloc,90,-0.77383000617411,uniform
14,implementation_smell_density_per_kloc,90,-0.7653518158769879,uniform
14,"pooled (non-independent, see caveat)",271,-0.7103184472962173,uniform
15,cyclomatic_complexity_p90,91,-0.6775257009531848,uniform
15,design_smell_density_per_kloc,91,-0.8012694165446039,uniform
15,implementation_smell_density_per_kloc,91,-0.7989950549056769,uniform
15,"pooled (non-independent, see caveat)",273,-0.739488455570182,uniform
16,cyclomatic_complexity_p90,90,-0.6288040301935249,uniform
16,design_smell_density_per_kloc,91,-0.8179501473281835,uniform
16,implementation_smell_density_per_kloc,91,-0.7753286775655166,uniform
16,"pooled (non-independent, see caveat)",272,-0.7154936195867566,uniform
17,cyclomatic_complexity_p90,92,-0.7073324856471312,uniform
17,design_smell_density_per_kloc,91,-0.7835310981922434,uniform
17,implementation_smell_density_per_kloc,91,-0.82640409622628,uniform
17,"pooled (non-independent, see caveat)",274,-0.7552289880841958,uniform
18,cyclomatic_complexity_p90,92,-0.7248102338843292,uniform
18,design_smell_density_per_kloc,91,-0.8507127498606355,uniform
18,implementation_smell_density_per_kloc,91,-0.8383487685042882,uniform
18,"pooled (non-independent, see caveat)",274,-0.7890571312231871,uniform
19,cyclomatic_complexity_p90,92,-0.7663640707118968,uniform
19,design_smell_density_per_kloc,91,-0.8573544636457753,uniform
19,implementation_smell_density_per_kloc,91,-0.9102875480773058,uniform
19,"pooled (non-independent, see caveat)",274,-0.8342090118711734,uniform
20,cyclomatic_complexity_p90,90,-0.7145444218532635,uniform
20,design_smell_density_per_kloc,91,-0.8313450664967748,uniform
20,implementation_smell_density_per_kloc,91,-0.8158131534731126,uniform
20,"pooled (non-independent, see caveat)",272,-0.7729736917901713,uniform
21,cyclomatic_complexity_p90,92,-0.697992524948946,uniform
21,design_smell_density_per_kloc,91,-0.8405033049295213,uniform
21,implementation_smell_density_per_kloc,91,-0.7902993334872869,uniform
21,"pooled (non-independent, see caveat)",274,-0.7527706898985763,uniform
22,cyclomatic_complexity_p90,92,-0.6687550572188184,uniform
22,design_smell_density_per_kloc,91,-0.8420641873058853,uniform
22,implementation_smell_density_per_kloc,91,-0.8513764244021692,uniform
22,"pooled (non-independent, see caveat)",274,-0.7708316561602713,uniform
23,cyclomatic_complexity_p90,92,-0.6246137248102338,uniform
23,design_smell_density_per_kloc,91,-0.8652066576411563,uniform
23,implementation_smell_density_per_kloc,91,-0.8107326861975329,uniform
23,"pooled (non-independent, see caveat)",274,-0.7391222930426777,uniform
24,cyclomatic_complexity_p90,92,-0.6352945709551883,uniform
24,design_smell_density_per_kloc,91,-0.8757187226248307,uniform
24,implementation_smell_density_per_kloc,91,-0.7631451118419482,uniform
24,"pooled (non-independent, see caveat)",274,-0.71419979302226,uniform
25,cyclomatic_complexity_p90,91,-0.6792164357381749,uniform
25,design_smell_density_per_kloc,91,-0.7633670462690133,uniform
25,implementation_smell_density_per_kloc,91,-0.8373454160329356,uniform
25,"pooled (non-independent, see caveat)",273,-0.7377773085602192,uniform
26,cyclomatic_complexity_p90,92,-0.7628944630678534,uniform
26,design_smell_density_per_kloc,91,-0.8301186589153461,uniform
26,implementation_smell_density_per_kloc,91,-0.7847251530908831,uniform
26,"pooled (non-independent, see caveat)",274,-0.7918514473857685,uniform
27,cyclomatic_complexity_p90,92,-0.7000863105329674,uniform
27,design_smell_density_per_kloc,91,-0.8102923082500655,uniform
27,implementation_smell_density_per_kloc,91,-0.8696915885617819,uniform
27,"pooled (non-independent, see caveat)",274,-0.7843806408641583,uniform
28,cyclomatic_complexity_p90,91,-0.6440965448044658,uniform
28,design_smell_density_per_kloc,91,-0.7993310504101299,uniform
28,implementation_smell_density_per_kloc,91,-0.829446006099746,uniform
28,"pooled (non-independent, see caveat)",273,-0.7467345053224917,uniform
29,cyclomatic_complexity_p90,91,-0.6552954292084727,uniform
29,design_smell_density_per_kloc,91,-0.8830134586286534,uniform
29,implementation_smell_density_per_kloc,91,-0.8469967112335662,uniform
29,"pooled (non-independent, see caveat)",273,-0.7619454860943182,uniform
30,cyclomatic_complexity_p90,92,-0.6506118800283591,uniform
30,design_smell_density_per_kloc,91,-0.7666162299912401,uniform
30,implementation_smell_density_per_kloc,91,-0.8834837034854554,uniform
30,"pooled (non-independent, see caveat)",274,-0.7530202978835238,uniform
31,cyclomatic_complexity_p90,92,-0.614328263897998,uniform
31,design_smell_density_per_kloc,91,-0.8925735681826602,uniform
31,implementation_smell_density_per_kloc,91,-0.836803924222999,uniform
31,"pooled (non-independent, see caveat)",274,-0.7506601520233179,uniform
32,cyclomatic_complexity_p90,92,-0.672443754315652,uniform
32,design_smell_density_per_kloc,91,-0.8015768097475512,uniform
32,implementation_smell_density_per_kloc,91,-0.8901886461908441,uniform
32,"pooled (non-independent, see caveat)",274,-0.7681804439607787,uniform
33,cyclomatic_complexity_p90,92,-0.6969776366690813,uniform
33,design_smell_density_per_kloc,91,-0.9049295213824958,uniform
33,implementation_smell_density_per_kloc,91,-0.8350679651852619,uniform
33,"pooled (non-independent, see caveat)",274,-0.7916479139327538,uniform
34,cyclomatic_complexity_p90,92,-0.7055292259083727,uniform
34,design_smell_density_per_kloc,91,-0.8386079477582226,uniform
34,implementation_smell_density_per_kloc,91,-0.8353864897793422,uniform
34,"pooled (non-independent, see caveat)",274,-0.7745972742875077,uniform
35,cyclomatic_complexity_p90,92,-0.6880538816022688,uniform
35,design_smell_density_per_kloc,91,-0.8833512530397614,uniform
35,implementation_smell_density_per_kloc,91,-0.8719371869500474,uniform
35,"pooled (non-independent, see caveat)",274,-0.7957913631802309,uniform
36,cyclomatic_complexity_p90,92,-0.6764047454882196,uniform
36,design_smell_density_per_kloc,91,-0.8575296647288365,uniform
36,implementation_smell_density_per_kloc,91,-0.8653596540822909,uniform
36,"pooled (non-independent, see caveat)",274,-0.7691228692430943,uniform
37,cyclomatic_complexity_p90,92,-0.5093630072592205,uniform
37,design_smell_density_per_kloc,91,-0.8615752170104325,uniform
37,implementation_smell_density_per_kloc,91,-0.832137538919724,uniform
37,"pooled (non-independent, see caveat)",274,-0.7114825651348199,uniform
38,cyclomatic_complexity_p90,92,-0.6517705082264091,uniform
38,design_smell_density_per_kloc,91,-0.8620848928884287,uniform
38,implementation_smell_density_per_kloc,91,-0.8481911784613669,uniform
38,"pooled (non-independent, see caveat)",274,-0.7524690904296713,uniform
39,cyclomatic_complexity_p90,92,-0.7105052248697635,uniform
39,design_smell_density_per_kloc,91,-0.7787847415784025,uniform
39,implementation_smell_density_per_kloc,91,-0.7866044481959563,uniform
39,"pooled (non-independent, see caveat)",274,-0.744537591584614,uniform
40,cyclomatic_complexity_p90,92,-0.7245811691814498,uniform
40,design_smell_density_per_kloc,91,-0.8371904117225452,uniform
40,implementation_smell_density_per_kloc,91,-0.8187754321980586,uniform
40,"pooled (non-independent, see caveat)",274,-0.7792875895938297,uniform
41,cyclomatic_complexity_p90,92,-0.6722253903179569,uniform
41,design_smell_density_per_kloc,91,-0.7335191526638529,uniform
41,implementation_smell_density_per_kloc,91,-0.75723648062176,uniform
41,"pooled (non-independent, see caveat)",274,-0.7058980179903738,uniform
42,cyclomatic_complexity_p90,92,-0.6990891296641646,uniform
42,design_smell_density_per_kloc,91,-0.8956438639802501,uniform
42,implementation_smell_density_per_kloc,91,-0.8434770144689797,uniform
42,"pooled (non-independent, see caveat)",274,-0.7843854335644951,uniform
43,cyclomatic_complexity_p90,91,-0.6789724314768509,uniform
43,design_smell_density_per_kloc,91,-0.8374930317751055,uniform
43,implementation_smell_density_per_kloc,91,-0.8852833674420088,uniform
43,"pooled (non-independent, see caveat)",273,-0.775244722331499,uniform
44,cyclomatic_complexity_p90,92,-0.6880334141251933,uniform
44,design_smell_density_per_kloc,91,-0.7951102970454728,uniform
44,implementation_smell_density_per_kloc,91,-0.7957301778163547,uniform
44,"pooled (non-independent, see caveat)",274,-0.7397735116659115,uniform
45,cyclomatic_complexity_p90,92,-0.6949408546218163,uniform
45,design_smell_density_per_kloc,91,-0.7910647447638768,uniform
45,implementation_smell_density_per_kloc,91,-0.7595408449755016,uniform
45,"pooled (non-independent, see caveat)",274,-0.7323623715230635,uniform
46,cyclomatic_complexity_p90,92,-0.6437433534207728,uniform
46,design_smell_density_per_kloc,91,-0.775376284144302,uniform
46,implementation_smell_density_per_kloc,91,-0.7973865057055717,uniform
46,"pooled (non-independent, see caveat)",274,-0.7134199182181485,uniform
47,cyclomatic_complexity_p90,90,-0.687744888215732,uniform
47,design_smell_density_per_kloc,91,-0.8631360993867961,uniform
47,implementation_smell_density_per_kloc,91,-0.8306882520166589,uniform
47,"pooled (non-independent, see caveat)",272,-0.7779115871930521,uniform
48,cyclomatic_complexity_p90,92,-0.6250240823655433,uniform
48,design_smell_density_per_kloc,91,-0.81809349366887,uniform
48,implementation_smell_density_per_kloc,91,-0.86110735075132,uniform
48,"pooled (non-independent, see caveat)",274,-0.7511213731475976,uniform
49,cyclomatic_complexity_p90,92,-0.7195567405946087,uniform
49,design_smell_density_per_kloc,91,-0.8269013299354943,uniform
49,implementation_smell_density_per_kloc,91,-0.8402599160687695,uniform
49,"pooled (non-independent, see caveat)",274,-0.7896796425376468,uniform
50,cyclomatic_complexity_p90,92,-0.7067182466901962,uniform
