full_name,n_agent,n_other,pct_deleted_agent,pct_deleted_other,fisher_p,odds_ratio
AgentOps-AI/agentops,8,1613,25.0,5.765654060756355,0.07553558558829501,5.448028673835125
Azure/azure-functions-core-tools,19,635,0.0,5.354330708661418,0.6165132121214927,0.0
Azure/data-api-builder,6,1065,0.0,1.8779342723004695,1.0,0.0
NewFuture/DDNS,421,1291,3.800475059382423,8.210689388071263,0.0015146542833857466,0.4416491963661775
airbytehq/airbyte,22,1720,0.0,11.337209302325581,0.16252348320317034,0.0
alexanderjeurissen/ranger_devicons,11,7,0.0,57.14285714285714,0.011437908496732029,0.0
commaai/opendbc,6,1261,0.0,18.79460745440127,0.6006511028559345,0.0
dotnet/aspire,33,1319,12.121212121212121,8.03639120545868,0.33697771335300597,1.5783994795055303
dotnet/macios,7,1405,0.0,39.5729537366548,0.04686507029904038,0.0
featureform/enrichmcp,85,249,5.88235294117647,2.4096385542168677,0.15559599769483834,2.53125
ikamensh/flynt,10,91,0.0,2.197802197802198,1.0,0.0
janbjorge/pgqueuer,21,1575,0.0,14.34920634920635,0.06035956652974689,0.0
keephq/keep,16,975,0.0,10.051282051282051,0.39137079630873794,0.0
marimo-team/marimo,23,1362,4.3478260869565215,7.856093979441997,1.0,0.5331350892098555
microsoft/autogen,10,1288,0.0,9.782608695652174,0.6112298103797236,0.0
microsoft/perfview,9,4727,0.0,3.300190395599746,1.0,0.0
microsoft/testfx,85,11796,36.470588235294116,0.5764665988470667,2.053892297780147e-44,99.01089324618736
mlflow/mlflow,80,2203,2.5,9.487063095778483,0.029457716437216466,0.2446325604220341
stanford-crfm/levanter,5,1892,0.0,19.503171247357294,0.5900435985710403,0.0
ucbepic/docetl,18,1545,0.0,4.919093851132686,1.0,0.0
vlm-run/vlmrun-hub,19,259,0.0,7.335907335907336,0.37862623968995335,0.0
willccbb/verifiers,72,1301,12.5,13.066871637202151,1.0,0.9504201680672268
"pooled (non-independent, see caveat)",1007,165362,6.951340615690168,9.50702096007547,0.00497764412368927,0.7110970602169895
